case_number,total_matches,num_files,file_paths
CR-25-698910-A,2,1,out/2025/2025-698910_20251120_085224.json
CR-25-699000-A,2,1,out/2025/2025-699000_20251120_091657.json
CR-25-699048-A,2,1,out/2025/2025-699048_20251120_093112.json
CR-25-699052-A,3,1,out/2025/2025-699052_20251120_093100.json
CR-25-699058-A,3,1,out/2025/2025-699058_20251120_093100.json
CR-25-699112-A,3,1,out/2025/2025-699112_20251120_094000.json
CR-25-699394-A,3,1,out/2025/2025-699394_20251120_103514.json
CR-25-699421-A,2,1,out/2025/2025-699421_20251120_104405.json
CR-25-699478-A,6,1,out/2025/2025-699478_20251120_105420.json
CR-25-699523-A,3,1,out/2025/2025-699523_20251120_110402.json
CR-25-699538-A,3,1,out/2025/2025-699538_20251120_110756.json
CR-25-699560-A,3,1,out/2025/2025-699560_20251120_111246.json
CR-25-699576-A,3,1,out/2025/2025-699576_20251120_111507.json
CR-25-699667-A,6,2,out/2025/2025-699667_20251120_113258.json;out/obstructing_cases/out/2025/2025-699667_20251120_113258.json
CR-25-699741-A,3,1,out/2025/2025-699741_20251120_115207.json
CR-25-699827-A,3,1,out/2025/2025-699827_20251120_121849.json
CR-25-699828-A,3,1,out/2025/2025-699828_20251120_121922.json
CR-25-699853-A,2,1,out/2025/2025-699853_20251120_122355.json
CR-25-699859-A,3,1,out/2025/2025-699859_20251120_122639.json
CR-25-699860-A,3,1,out/2025/2025-699860_20251120_122837.json
CR-25-699909-A,2,1,out/2025/2025-699909_20251120_123749.json
CR-25-699947-A,3,1,out/2025/2025-699947_20251120_124343.json
CR-25-699994-A,3,1,out/2025/2025-699994_20251120_125641.json
CR-25-699999-A,3,1,out/2025/2025-699999_20251120_125944.json
CR-25-700090-A,2,1,out/2025/2025-700090_20251120_131314.json
CR-25-700106-A,2,1,out/2025/2025-700106_20251120_131347.json
CR-25-700130-A,6,1,out/2025/2025-700130_20251120_131618.json
CR-25-700151-A,2,1,out/2025/2025-700151_20251120_132731.json
CR-25-700190-A,2,1,out/2025/2025-700190_20251120_133419.json
CR-25-700210-A,3,1,out/2025/2025-700210_20251120_133654.json
CR-25-700253-A,3,1,out/2025/2025-700253_20251120_134446.json
CR-25-700261-A,2,1,out/2025/2025-700261_20251120_134730.json
CR-25-700298-A,3,1,out/2025/2025-700298_20251120_135019.json
CR-25-700303-A,3,1,out/2025/2025-700303_20251120_135644.json
CR-25-700347-A,3,1,out/2025/2025-700347_20251120_140106.json
CR-25-700374-A,2,1,out/2025/2025-700374_20251120_140918.json
CR-25-700387-A,3,1,out/2025/2025-700387_20251120_141445.json
CR-25-700426-A,2,1,out/2025/2025-700426_20251120_142057.json
CR-25-700444-A,6,2,out/2025/2025-700444_20251120_142504.json;out/obstructing_cases/out/2025/2025-700444_20251120_142504.json
CR-25-700493-A,3,1,out/2025/2025-700493_20251120_143659.json
CR-25-700521-A,2,1,out/2025/2025-700521_20251120_144247.json
CR-25-700532-A,2,1,out/2025/2025-700532_20251120_144559.json
CR-25-700536-A,3,1,out/2025/2025-700536_20251120_144707.json
CR-25-700544-A,2,1,out/2025/2025-700544_20251120_144601.json
CR-25-700547-A,3,1,out/2025/2025-700547_20251120_144710.json
CR-25-700607-A,3,1,out/2025/2025-700607_20251120_150442.json
CR-25-700609-A,3,1,out/2025/2025-700609_20251120_150108.json
CR-25-700627-A,3,1,out/2025/2025-700627_20251120_151042.json
CR-25-700635-A,3,1,out/2025/2025-700635_20251120_151048.json
CR-25-700638-A,3,1,out/2025/2025-700638_20251120_151149.json
CR-25-700669-A,3,1,out/2025/2025-700669_20251120_152654.json
CR-25-700699-A,6,1,out/2025/2025-700699_20251120_153346.json
CR-25-700753-A,3,1,out/2025/2025-700753_20251120_154230.json
CR-25-700758-A,3,1,out/2025/2025-700758_20251120_154204.json
CR-25-700778-A,6,1,out/2025/2025-700778_20251120_154409.json
CR-25-700819-A,3,1,out/2025/2025-700819_20251120_155309.json
CR-25-700887-A,2,1,out/2025/2025-700887_20251120_160830.json
CR-25-700889-A,2,1,out/2025/2025-700889_20251120_160829.json
CR-25-700892-A,2,1,out/2025/2025-700892_20251120_160741.json
CR-25-700893-A,3,1,out/2025/2025-700893_20251120_160757.json
CR-25-700905-A,2,1,out/2025/2025-700905_20251120_161117.json
CR-25-700909-A,3,1,out/2025/2025-700909_20251120_161335.json
CR-25-700910-A,3,1,out/2025/2025-700910_20251120_161335.json
CR-25-700927-A,2,1,out/2025/2025-700927_20251120_161743.json
CR-25-701106-A,2,1,out/2025/2025-701106_20251120_165500.json
CR-25-701116-A,3,1,out/2025/2025-701116_20251120_165607.json
CR-25-701129-A,2,1,out/2025/2025-701129_20251120_170407.json
CR-25-701143-A,3,1,out/2025/2025-701143_20251120_170528.json
CR-25-701145-A,3,1,out/2025/2025-701145_20251120_170522.json
CR-25-701232-A,2,1,out/2025/2025-701232_20251120_200214.json
CR-25-701393-A,3,1,out/2025/2025-701393_20251120_202623.json
CR-25-701447-A,3,1,out/2025/2025-701447_20251120_203524.json
CR-25-701464-A,2,1,out/2025/2025-701464_20251120_203937.json
CR-25-701473-A,3,1,out/2025/2025-701473_20251120_203952.json
CR-25-701484-A,4,2,out/2025/2025-701484_20251120_204227.json;out/obstructing_cases/out/2025/2025-701484_20251120_204227.json
CR-25-701620-A,3,1,out/2025/2025-701620_20251120_211544.json
CR-25-701627-A,2,1,out/2025/2025-701627_20251120_211741.json
CR-25-701638-A,3,1,out/2025/2025-701638_20251120_212144.json
CR-25-701673-A,3,1,out/2025/2025-701673_20251120_213952.json
CR-25-701687-A,3,1,out/2025/2025-701687_20251120_213931.json
CR-25-701702-A,3,1,out/2025/2025-701702_20251120_214423.json
CR-25-701744-A,2,1,out/2025/2025-701744_20251120_215456.json
CR-25-701782-A,2,1,out/2025/2025-701782_20251120_220343.json
CR-25-701817-A,3,1,out/2025/2025-701817_20251120_221445.json
CR-25-701853-A,8,3,out/2025/2025-701853_20251120_223103.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-701853_20251120_222619.json;out/obstructing_cases/out/2025/2025-701853_20251120_223103.json
CR-25-701878-A,6,2,out/2025/2025-701878_20251120_223351.json;out/obstructing_cases/out/2025/2025-701878_20251120_223351.json
CR-25-701879-A,2,1,out/2025/2025-701879_20251120_223644.json
CR-25-701922-A,2,1,out/2025/2025-701922_20251120_224609.json
CR-25-701945-A,3,1,out/2025/2025-701945_20251120_225130.json
CR-25-701984-A,2,1,out/2025/2025-701984_20251120_230409.json
CR-25-701989-A,3,1,out/2025/2025-701989_20251120_230758.json
CR-25-702000-A,1,1,out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-702000_20251112_071419.json
CR-25-702039-A,6,2,out/2025/2025-702039_20251120_231338.json;out/obstructing_cases/out/2025/2025-702039_20251120_231338.json
CR-25-702078-A,10,4,out/2025/2025-702078_20251120_232558.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-702078_20251120_232201.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-702078_20251120_232428.json;out/obstructing_cases/out/2025/2025-702078_20251120_232558.json
CR-25-702084-A,3,1,out/2025/2025-702084_20251120_232532.json
CR-25-702088-A,3,1,out/2025/2025-702088_20251120_232726.json
CR-25-702104-A,6,2,out/2025/2025-702104_20251120_232722.json;out/obstructing_cases/out/2025/2025-702104_20251120_232722.json
CR-25-702135-A,3,1,out/2025/2025-702135_20251120_233609.json
CR-25-702150-A,4,2,out/2025/2025-702150_20251120_234150.json;out/obstructing_cases/out/2025/2025-702150_20251120_234150.json
CR-25-702157-A,2,1,out/2025/2025-702157_20251120_234142.json
CR-25-702205-A,1,1,out/2025/2025-702205_20251112_072240.json
CR-25-702206-A,3,1,out/2025/2025-702206_20251120_235522.json
CR-25-702253-A,6,2,out/2025/2025-702253_20251121_000128.json;out/obstructing_cases/out/2025/2025-702253_20251121_000128.json
CR-25-702259-A,2,1,out/2025/2025-702259_20251121_000131.json
CR-25-702291-A,3,1,out/2025/2025-702291_20251121_000516.json
CR-25-702355-A,2,1,out/2025/2025-702355_20251121_001340.json
CR-25-702422-A,3,1,out/2025/2025-702422_20251121_002043.json
CR-25-702465-A,3,1,out/2025/2025-702465_20251121_002554.json
CR-25-702479-A,2,1,out/2025/2025-702479_20251121_003538.json
